Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde1                 Vardas1           7           7           1           9           8           6           7           8           9           3           7           7           9           8          10           1
Pavarde2                 Vardas2           2           8           5           3           7           9           8           3           7           2           2           3           6           2           1           9
Pavarde3                 Vardas3           3           3           5           3           2           5           4           8           1           7          10           9           9           1           1           3
Pavarde4                 Vardas4          10           5           5           2          10           5           1           4           9           6           9           3          10           6           8           3
Pavarde5                 Vardas5           6          10           3           8           7           9          10           1           2           2           7           1           3           4           4           5
Pavarde6                 Vardas6           5           7           3           8           8           2           8           1           8           7           3           3           9           6           2           5
Pavarde7                 Vardas7           9           1           1           2           9           4           3          10           4           4           2           4           7           2           8           3
Pavarde8                 Vardas8           2           6           8           1           1           9           9           5          10           2           6          10           8          10           1           8
Pavarde9                 Vardas9           1          10           9           4           2           9           6           5           3           8           3           8           2           8           5           1
Pavarde10               Vardas10           8           8           9           7          10           4           8           4           7           4           9           7           2           2           1           6
Pavarde11               Vardas11           2           9           8           8           4           3           4           6           3           3           5           9           5           9           4          10
Pavarde12               Vardas12           6           7           6           5           1           2           4          10           7           4           9           5           5           3           7           7
Pavarde13               Vardas13           1           2           1           2           1           9           4           9          10           6           5           1           9           1           9           6
Pavarde14               Vardas14           6          10           8           2           1           5           5           4           5           3           3           7           6          10           1           4
Pavarde15               Vardas15           8           4           3           8           4           9           3          10          10           4           5           1           6           7           8           5
Pavarde16               Vardas16           9           9           8           6           3           6           9           8           8           2           7           2          10           9           1           3
Pavarde17               Vardas17           6           9           3           9           2           5           6           7           2           2           3           7           6          10          10           3
Pavarde18               Vardas18           6           7           4           3           3           7           3           2           3           9           1           4           1           8           3           5
Pavarde19               Vardas19           6           7           8           2           7           4           5           1           1           3          10          10           6           2           6           6
Pavarde20               Vardas20           1           2           4           6           8           1           4           5           1           2           1           7           1           5           6           8
Pavarde21               Vardas21           5          10          10           2           5          10           5           2           4           4           1           3           2           3           9           6
Pavarde22               Vardas22           8           2           3           1           9          10           9           9           8           5           5          10           3           1           1           4
Pavarde23               Vardas23           6           9           7          10           2           9           5           2          10           8           3           8           2          10           5           9
Pavarde24               Vardas24           1           3           4           9           3          10          10          10           9           3           6           2           6           8           8           9
Pavarde25               Vardas25           4           4           6           8           7           3          10           2           7           4           4           6           1          10           6          10
Pavarde26               Vardas26          10          10           3           8           7           3          10           5           7           1           8           3           8           4           9           7
Pavarde27               Vardas27           8           2           3           9           8           5           5           1          10          10           2           2           2           7           9           7
Pavarde28               Vardas28           7           5           2           3           1          10           7           3          10           9           9           9           7           4           6           5
Pavarde29               Vardas29           7           7           3           5          10          10           8           6           9           8           2          10           5           2           9           9
Pavarde30               Vardas30           3           6           1           4           6           4           1           6           9           1           5           9          10           6           8           1
Pavarde31               Vardas31           2           7           6           1           8          10           3           4           7           5           7           2           5           7           4           4
Pavarde32               Vardas32          10           4           4           5          10           2           6           7           5          10           7           7           5           9           6           3
Pavarde33               Vardas33           1           6           3           8           1           7           7           5           1          10           7           5           4          10           3           3
Pavarde34               Vardas34           3           4           7           8          10          10           1           1           2           7           4          10           2           4           7           9
Pavarde35               Vardas35           3           4           2           8           1           5           4           4           2          10           3           5           8           7           6           1
Pavarde36               Vardas36           6           4           6           7           9           6          10           4           2           8           6           7           1           4           7           5
Pavarde37               Vardas37           4          10           2           9           8           8           8           2           2           1           1           2           5          10           6           2
Pavarde38               Vardas38           9           6           3          10           2           1           3           8           4           6           7           4           8          10           4           3
Pavarde39               Vardas39          10           3           8           2           2           7           4           2           3           2           7           4           1          10           2           7
Pavarde40               Vardas40           6          10           6           9           1           5           8           8           5           5           3           7           8          10           1           6
Pavarde41               Vardas41           8           1           4           8           5          10           9           4           9           5           7           2           1           7           2           8
Pavarde42               Vardas42           8           7           2           2           7           6           5           2           1           2           9           5          10           5           3           3
Pavarde43               Vardas43           6           4           8          10           4           1           2           7           9           4           6           8           8          10           9           3
Pavarde44               Vardas44          10          10           1           1           2           2          10           5           1           8           4           8          10           5           8           4
Pavarde45               Vardas45           1           1          10           9           6           9           8           1           4           5           5           3           2           9           1           8
Pavarde46               Vardas46           5           8           8           3           4           6           4           5           4           2          10           9           8           7           2           3
Pavarde47               Vardas47           2           7           4           3           1           7           3           1           7           2           8           3           5           1           8           5
Pavarde48               Vardas48           9           8          10           3          10           8           2           4           9           3          10           5           9           1           2           1
Pavarde49               Vardas49          10           8           2           2           9           5           4          10           9           2           5           1           2           9           8           8
Pavarde50               Vardas50           7           6           4           5           5           6           3           9           5           9           9           6           7           3           6           4
Pavarde51               Vardas51           2           2           6           5          10           8          10           6           1           8           5           7           8           1           6           3
Pavarde52               Vardas52           5          10           6           8           6           9           4           8           4           2           1           1           3           1          10           1
Pavarde53               Vardas53           1          10           7           2           7           1           3           2           3           7           8          10           6          10           7           9
Pavarde54               Vardas54           9           1           1           1           6           2           7           2           2           7           4           3           8           7          10           7
Pavarde55               Vardas55           7           9           1           7           3           3           6          10           1           3          10           8           3           8           1          10
Pavarde56               Vardas56           4           1           8           7           5           1           7           1           7          10           4          10           7           6          10          10
Pavarde57               Vardas57           2           7          10           3           1           1           4          10           3           1           7          10           5           1           5           1
Pavarde58               Vardas58           9           7           4           1           7           7           4           9           9           5           5           6           3           9           7           4
Pavarde59               Vardas59           7           3           5          10           3          10           1           1           5           9           6           1          10           3           6           4
Pavarde60               Vardas60           9           2           5           4           3           5          10           8           8           5           9           2           5           9           5           8
Pavarde61               Vardas61           1           2           9           8           3           2           7           3           6           5           6           2           6           2           7           9
Pavarde62               Vardas62           4           2          10           1           5           3           3           8           8          10           9           1           1           4           8           3
Pavarde63               Vardas63           9           4           5           5           7           7           4           4           8           1           8           7           8          10           2           7
Pavarde64               Vardas64           9           9           3           1           1           7           3          10           5           2           3           9           9           8           1           7
Pavarde65               Vardas65           5           6          10          10           6           7           1           7           6           1           5           7          10           6           6           9
Pavarde66               Vardas66           2           8           2           3           6           3           2           1           1           1           9           6           2           6           3           4
Pavarde67               Vardas67           5           8          10           9           2           7           9           3           3           9           2           7           5           3           2           6
Pavarde68               Vardas68          10           1           2           7           3           5           1           7           2           4           4           3           2           5          10           4
Pavarde69               Vardas69           4           3           1           1           3           7          10           4           2           5           1           7           3           7          10           5
Pavarde70               Vardas70           6           1           5           9           8           4           3           9           8           9           7           5           9           5           6           5
Pavarde71               Vardas71           6           3           6           3           9           5           2           6           2           6           7           7           7           2           7           3
Pavarde72               Vardas72           4           1           5           2           4           6           9           1           9           6           9           5           3           1           6           5
Pavarde73               Vardas73           5           1           2           9           8           3           8           2           3           5           4           3           9           8           3           1
Pavarde74               Vardas74           5           7           5           1           3           4           7           2           7           5           3          10          10           6           9           2
Pavarde75               Vardas75           5           9           1           1           9           2          10           4           1           4           7           7           1           5          10           8
Pavarde76               Vardas76           3           7           2           4           1           7           3           9           6           7           5           8          10          10           4           4
Pavarde77               Vardas77           2           8           8           1          10          10           3           8           2           2           7           1           8           7          10           1
Pavarde78               Vardas78           2           7           5           4           9           9           3           5           4           7           5           8           2           8           3           4
Pavarde79               Vardas79           7           6           4          10           7           8           7          10          10           8           5           4           5           5           3           3
Pavarde80               Vardas80           7           3          10           9           7           6           3           9           6           1           1          10           2          10           2           5
Pavarde81               Vardas81           9           6           9           6           5           5           4           2          10           5           2           8           8          10           7           6
Pavarde82               Vardas82           2           9           1           2           2           9           5           3           9           4           6           9          10          10           4           1
Pavarde83               Vardas83           6           4           3           3           3           2          10           7           1          10           2           7           8          10           9           7
Pavarde84               Vardas84           6           5          10           8           5           8           3           2           4           8           4           6           8           6           4           8
Pavarde85               Vardas85           6           7           7           8           1           6           4           6           8           4           9           9           8           4           7           4
Pavarde86               Vardas86           1           1           9           9           7           8           4           9           9           6           3           7           4           5           8           4
Pavarde87               Vardas87           9           9           4           7           5           9          10           1           2           5           9           6           9           8           9           9
Pavarde88               Vardas88           1           2           6           3           6           2          10           4           6           1           9           3           9           2           6           4
Pavarde89               Vardas89           7           3          10           6           8           6           9           3           2           6           5           2           3           7           3           4
Pavarde90               Vardas90           9          10           5          10           3           3           8           8           8           8          10           2           3           6           5           8
Pavarde91               Vardas91           9           4           2           7           2           3           7           6           2           4           6           3           3           7           2           9
Pavarde92               Vardas92           7           5           3           9           2           7           9          10          10           4           3           6           6           6           2           7
Pavarde93               Vardas93           3          10           6           9           8           8           4           1           4           1           5          10           2           3           5           3
Pavarde94               Vardas94           7           7           2           7           9           5           6           8           4           9           5           2          10           6           9           2
Pavarde95               Vardas95           6           1           3           2           3           3           5           7           3           6          10           3           7           4           7          10
Pavarde96               Vardas96           9          10           9           2           3           7           5           9           9           9           4           2           3           7           3           2
Pavarde97               Vardas97           2           9           7           4           8           6           1           7           3           4           2           5           1           6           2           5
Pavarde98               Vardas98           5           9           4           4           4          10           8           7           5           9           1           7          10           9           9           9
Pavarde99               Vardas99           1           6           9           5           1           8           2           8          10           8           3           4           6           9           8           9
Pavarde100             Vardas100           4          10           9          10           3          10          10           3           6           3           3           9           3           3           7           9
